engine,model,block_size,input_len,output_len,req_per_s,total_tok_per_s,output_tok_per_s
python,Qwen/Qwen2.5-7B-Instruct,16,32,128,50.49,8077.73,6462.18
python,Qwen/Qwen2.5-7B-Instruct,16,32,256,26.12,7521.52,6685.79
python,Qwen/Qwen2.5-7B-Instruct,16,32,512,12.60,6851.73,6448.69
python,Qwen/Qwen2.5-7B-Instruct,16,32,1024,5.65,5968.74,5787.87
python,Qwen/Qwen2.5-7B-Instruct,16,64,128,44.18,8482.71,5655.14
python,Qwen/Qwen2.5-7B-Instruct,16,64,256,24.13,7720.44,6176.35
python,Qwen/Qwen2.5-7B-Instruct,16,64,512,12.02,6922.17,6153.04
python,Qwen/Qwen2.5-7B-Instruct,16,64,1024,5.49,5974.76,5623.30
python,Qwen/Qwen2.5-7B-Instruct,16,128,128,35.38,9058.36,4529.18
python,Qwen/Qwen2.5-7B-Instruct,16,128,256,20.94,8040.26,5360.18
python,Qwen/Qwen2.5-7B-Instruct,16,128,512,11.00,7040.73,5632.59
python,Qwen/Qwen2.5-7B-Instruct,16,128,1024,5.19,5975.58,5311.62
python,Qwen/Qwen2.5-7B-Instruct,16,256,128,25.07,9628.24,3209.41
python,Qwen/Qwen2.5-7B-Instruct,16,256,256,16.47,8432.39,4216.20
python,Qwen/Qwen2.5-7B-Instruct,16,256,512,9.40,7217.40,4811.60
python,Qwen/Qwen2.5-7B-Instruct,16,256,1024,4.68,5985.11,4788.08
python,Qwen/Qwen2.5-7B-Instruct,16,512,128,15.68,10035.46,2007.09
python,Qwen/Qwen2.5-7B-Instruct,16,512,256,11.39,8750.64,2916.88
python,Qwen/Qwen2.5-7B-Instruct,16,512,512,7.18,7354.26,3677.13
python,Qwen/Qwen2.5-7B-Instruct,16,512,1024,3.88,5967.10,3978.07
python,Qwen/Qwen2.5-7B-Instruct,16,1024,128,8.45,9738.39,1082.04
python,Qwen/Qwen2.5-7B-Instruct,16,1024,256,6.78,8678.65,1735.73
python,Qwen/Qwen2.5-7B-Instruct,16,1024,512,4.78,7339.18,2446.39
python,Qwen/Qwen2.5-7B-Instruct,16,1024,1024,2.68,5481.07,2740.53
python,Qwen/Qwen2.5-7B-Instruct,32,32,128,50.68,8108.80,6487.04
python,Qwen/Qwen2.5-7B-Instruct,32,32,256,26.08,7511.61,6676.99
python,Qwen/Qwen2.5-7B-Instruct,32,32,512,12.61,6861.44,6457.83
python,Qwen/Qwen2.5-7B-Instruct,32,32,1024,5.66,5974.41,5793.36
python,Qwen/Qwen2.5-7B-Instruct,32,64,128,44.43,8531.21,5687.47
python,Qwen/Qwen2.5-7B-Instruct,32,64,256,24.13,7721.26,6177.01
python,Qwen/Qwen2.5-7B-Instruct,32,64,512,12.04,6937.08,6166.30
python,Qwen/Qwen2.5-7B-Instruct,32,64,1024,5.49,5978.53,5626.85
python,Qwen/Qwen2.5-7B-Instruct,32,128,128,35.44,9073.90,4536.95
python,Qwen/Qwen2.5-7B-Instruct,32,128,256,20.89,8021.71,5347.80
python,Qwen/Qwen2.5-7B-Instruct,32,128,512,11.01,7043.61,5634.89
python,Qwen/Qwen2.5-7B-Instruct,32,128,1024,5.20,5989.99,5324.43
python,Qwen/Qwen2.5-7B-Instruct,32,256,128,25.22,9683.05,3227.68
python,Qwen/Qwen2.5-7B-Instruct,32,256,256,16.48,8435.89,4217.95
python,Qwen/Qwen2.5-7B-Instruct,32,256,512,9.37,7194.37,4796.25
python,Qwen/Qwen2.5-7B-Instruct,32,256,1024,4.68,5991.27,4793.02
python,Qwen/Qwen2.5-7B-Instruct,32,512,128,15.68,10037.17,2007.43
python,Qwen/Qwen2.5-7B-Instruct,32,512,256,11.37,8732.55,2910.85
python,Qwen/Qwen2.5-7B-Instruct,32,512,512,7.17,7343.40,3671.70
python,Qwen/Qwen2.5-7B-Instruct,32,512,1024,3.89,5971.04,3980.69
python,Qwen/Qwen2.5-7B-Instruct,32,1024,128,8.45,9732.93,1081.44
python,Qwen/Qwen2.5-7B-Instruct,32,1024,256,6.81,8717.79,1743.56
python,Qwen/Qwen2.5-7B-Instruct,32,1024,512,4.78,7341.79,2447.26
python,Qwen/Qwen2.5-7B-Instruct,32,1024,1024,2.66,5453.08,2726.54
rust,Qwen/Qwen2.5-7B-Instruct,16,32,128,50.72,8117.77,6494.57
rust,Qwen/Qwen2.5-7B-Instruct,16,32,256,26.28,7570.90,6729.79
